b_tgt,cat_input1,cat_input2,demog_age,demog_ho,demog_homeval,demog_inc,demog_pr,rfm1,rfm2,rfm3,rfm4,rfm5,rfm6,rfm7,rfm8,rfm9,rfm10,rfm11,rfm12,demog_genf,demog_genm,account
0,X,C,66,1,70584,66196,31,$61.67 ,$61.67 ,$75.00 ,$75.00 ,2,2,0,0,22,12,5,31,0,1,100219720
0,X,C,84,0,63376,64939,24,$50.00 ,$28.33 ,,$50.00 ,1,3,0,2,19,13,6,65,1,0,100066499
0,X,E,NA,0,40922,41838,31,$19.00 ,$15.25 ,,$19.00 ,1,4,0,1,25,9,4,75,0,1,100849910
1,Y,E,71,1,45905,36985,50,$8.67 ,$9.33 ,$8.67 ,$10.00 ,6,9,6,6,7,27,10,33,1,0,100340417
0,X,E,71,1,32701,38578,38,$19.00 ,$17.00 ,$19.00 ,$19.00 ,0,2,0,1,20,11,5,49,0,1,100931269
0,X,E,63,1,30427,25663,26,$0.00 ,$9.58 ,,$20.00 ,0,12,0,5,27,27,5,105,0,1,100766080
0,X,E,83,1,54094,45116,13,$4.63 ,$3.85 ,$4.67 ,$6.00 ,8,39,6,25,17,10,5,126,0,1,101010818
1,X,C,73,0,157606,$0.00 ,39,$11.00 ,$11.00 ,,$17.00 ,3,3,1,1,19,12,6,28,1,0,100458245
0,X,B,83,1,83327,37794,61,$13.67 ,$9.75 ,$14.00 ,$15.00 ,3,8,2,6,16,13,6,105,0,1,100354994
0,X,D,53,0,96293,$0.00 ,32,$16.00 ,$13.00 ,,$16.00 ,1,2,0,1,20,10,4,44,1,0,100037377
0,Z,A,78,1,123700,59226,53,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,17,10,4,17,0,1,101002909
0,Y,B,NA,0,83315,$0.00 ,39,$15.00 ,$11.00 ,$15.00 ,$15.00 ,3,13,3,10,27,5,3,73,1,0,100350171
0,Z,C,30,0,165975,41714,26,$20.00 ,$20.00 ,$20.00 ,$20.00 ,2,2,2,2,22,10,5,22,1,0,100897122
0,X,E,33,0,$0.00 ,$0.00 ,0,$14.67 ,$10.13 ,$14.50 ,$10.00 ,2,7,1,4,16,13,5,67,1,0,100517729
0,X,E,29,1,65591,56255,31,$20.00 ,$17.70 ,,$20.00 ,2,10,0,5,16,13,6,87,0,1,100185058
0,Z,C,NA,1,88765,61203,21,$20.00 ,$20.00 ,,$20.00 ,1,1,0,0,16,12,5,16,1,0,100555588
0,X,E,NA,0,43503,$0.00 ,33,$10.00 ,$6.00 ,$10.00 ,$10.00 ,4,20,2,12,20,26,6,123,0,1,100467568
1,Y,E,NA,0,194887,$0.00 ,0,$12.67 ,$9.76 ,$13.00 ,$14.00 ,2,16,1,7,17,18,5,75,1,0,100591230
0,X,E,81,1,24616,29865,20,$20.00 ,$10.11 ,,$20.00 ,2,9,0,6,16,13,6,115,0,1,101019244
0,X,A,63,1,93482,66454,40,$15.00 ,$7.11 ,$15.00 ,$15.00 ,3,18,3,11,22,12,6,113,0,1,100486076
0,X,A,52,1,139824,66151,63,$85.00 ,$31.54 ,$85.00 ,$50.00 ,2,13,2,7,18,14,6,121,0,1,100599561
0,X,B,81,1,84621,24831,29,$12.50 ,$12.50 ,,$20.00 ,2,2,0,0,18,10,4,32,0,1,100331104
0,X,E,61,0,41725,33164,40,$27.00 ,$10.88 ,$14.00 ,$40.00 ,2,8,1,4,18,13,6,77,1,0,100756792
0,X,C,NA,1,43806,41908,47,$10.00 ,$8.52 ,$10.00 ,$10.00 ,5,27,4,18,17,8,4,110,1,0,100338241
1,X,A,40,1,202401,38460,13,$9.00 ,$7.33 ,$8.67 ,$10.00 ,5,7,4,5,19,14,7,42,1,0,100105275
0,X,A,35,1,269106,78420,11,$15.00 ,$13.00 ,$14.00 ,$16.00 ,2,4,1,3,18,10,4,74,0,1,100488357
1,X,A,47,1,283295,75375,53,$12.00 ,$16.48 ,$13.33 ,$10.00 ,5,21,3,12,15,14,6,113,1,0,100679652
0,X,E,55,0,34899,33867,23,$20.00 ,$15.00 ,,$20.00 ,1,2,0,0,26,9,4,31,0,1,100756856
1,X,A,NA,1,445913,112200,26,$15.00 ,$9.53 ,$15.00 ,$17.00 ,3,15,2,12,16,14,6,112,0,1,100401937
1,X,A,NA,1,196322,89207,22,$10.50 ,$8.43 ,$12.50 ,$15.00 ,4,7,2,3,15,15,6,45,1,0,100978586
0,X,A,64,1,120507,52426,25,$10.00 ,$12.50 ,$10.00 ,$10.00 ,1,7,0,3,15,13,5,88,1,0,100112209
0,X,A,27,1,358716,70543,23,$12.00 ,$8.78 ,$15.00 ,$10.00 ,4,9,2,5,18,14,6,65,0,1,100679019
0,Z,B,32,1,81410,42744,18,$6.67 ,$6.67 ,$5.00 ,$10.00 ,3,3,2,2,18,12,6,27,1,0,100832580
0,X,D,58,1,52277,52862,44,$15.00 ,$10.00 ,,$15.00 ,0,1,0,0,25,9,3,39,0,1,100947735
0,Z,B,68,1,93623,62117,45,$25.00 ,$25.00 ,$25.00 ,$25.00 ,2,2,2,2,18,12,6,18,0,1,100501643
0,X,E,66,1,42401,35216,43,$20.00 ,$16.26 ,,$23.00 ,0,18,0,2,7,37,7,76,0,1,100822311
1,X,E,74,0,55508,38850,28,$10.75 ,$7.60 ,$12.00 ,$11.00 ,3,9,1,5,17,12,5,67,1,0,100091629
1,X,B,71,0,70596,$0.00 ,52,$13.00 ,$7.17 ,$13.00 ,$10.00 ,2,12,2,8,5,13,7,92,0,1,100331513
0,X,E,65,0,33286,$0.00 ,32,$14.86 ,$11.21 ,$16.25 ,$10.00 ,6,23,3,11,15,14,5,88,1,0,100750062
1,X,E,17,1,31591,37869,38,$3.00 ,$2.85 ,$3.00 ,$5.00 ,5,20,2,7,18,13,6,121,0,1,100063638
0,X,E,47,1,36710,$0.00 ,32,$17.50 ,$6.82 ,,$30.00 ,2,11,0,8,18,13,6,121,1,0,100935585
0,X,E,65,0,43002,34979,31,$19.50 ,$14.00 ,$26.00 ,$26.00 ,2,6,1,4,15,12,5,57,1,0,100087219
0,X,A,75,0,183911,$0.00 ,0,$22.50 ,$24.60 ,$22.50 ,$20.00 ,2,10,2,7,16,14,6,89,0,1,100387423
0,X,A,60,1,184517,95515,24,$15.00 ,$13.33 ,,$15.00 ,1,2,0,0,25,8,3,52,0,1,100400726
0,X,E,49,1,53205,51097,31,$5.80 ,$6.50 ,$6.00 ,$10.00 ,5,8,3,4,18,13,6,44,1,0,100090084
0,X,E,79,0,56669,44603,22,$12.33 ,$12.19 ,$16.00 ,$10.00 ,3,31,1,10,9,45,9,122,1,0,100090911
1,X,C,75,1,99693,43355,47,$10.00 ,$10.00 ,$10.00 ,$10.00 ,4,4,4,4,17,12,6,29,1,0,100837241
0,X,E,77,0,34679,39093,35,$22.50 ,$13.89 ,,$20.00 ,2,9,0,5,19,13,6,124,1,0,100324777
1,X,C,79,0,63906,38524,36,$7.50 ,$5.31 ,$7.50 ,$10.00 ,4,42,2,19,18,11,5,129,1,0,100056548
0,X,E,82,1,34585,45494,22,$12.00 ,$17.18 ,$12.00 ,$14.00 ,2,17,2,9,25,10,5,123,1,0,100439358
0,X,E,46,0,37729,$0.00 ,28,$20.20 ,$12.21 ,$20.25 ,$20.00 ,4,18,3,9,18,12,5,128,0,1,100437756
0,X,C,NA,0,126203,56034,34,$11.33 ,$10.17 ,$11.33 ,$13.00 ,3,6,3,4,22,12,6,45,1,0,100704181
0,X,D,36,0,55353,43611,39,$12.00 ,$10.18 ,$12.00 ,$12.00 ,2,11,1,7,15,12,5,80,1,0,100975363
0,X,B,36,1,88811,66153,33,$11.00 ,$9.21 ,$11.00 ,$11.00 ,1,14,1,11,21,11,4,113,0,1,100499898
0,X,B,38,1,53513,58797,40,$10.00 ,$8.29 ,,$10.00 ,2,15,1,9,19,7,3,125,1,0,100338735
0,X,A,40,0,60398,28071,19,$19.50 ,$12.00 ,,$21.00 ,2,11,0,5,18,13,6,104,0,1,100195486
0,X,C,NA,1,60393,54910,33,$10.50 ,$5.11 ,$10.00 ,$11.00 ,2,18,1,11,26,9,4,130,1,0,100606058
1,X,C,65,0,147616,$0.00 ,28,$6.00 ,$5.86 ,$3.33 ,$10.00 ,5,21,3,11,17,15,6,125,0,1,101040998
0,X,D,66,1,57705,48085,30,$7.25 ,$7.25 ,$6.67 ,$9.00 ,4,4,3,3,18,11,6,28,1,0,100319598
1,X,E,59,1,79000,45934,44,$7.40 ,$7.70 ,,$10.00 ,5,27,0,5,8,29,7,79,1,0,101009234
0,X,E,NA,0,28387,$0.00 ,36,$25.00 ,$16.25 ,$25.00 ,$25.00 ,1,8,1,4,24,16,6,72,1,0,100436809
0,X,E,NA,0,49686,$0.00 ,24,$6.33 ,$6.70 ,$6.00 ,$10.00 ,10,11,3,3,16,14,7,32,0,1,100383276
0,X,B,46,0,66607,$0.00 ,49,$20.00 ,$24.00 ,$20.00 ,$20.00 ,0,4,0,4,15,13,5,73,0,1,100426632
1,Z,B,67,0,45401,$0.00 ,37,$8.70 ,$7.77 ,$9.43 ,$6.00 ,10,13,7,8,15,17,7,41,1,0,100644272
0,Z,A,67,1,122527,77380,32,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,18,10,4,18,1,0,100311903
0,Y,E,53,1,40698,35908,32,$15.00 ,$9.50 ,,$20.00 ,2,4,0,1,15,9,3,44,0,1,101000075
0,X,D,NA,0,55620,$0.00 ,26,$18.00 ,$13.33 ,,$18.00 ,1,3,0,1,18,10,4,76,1,0,100254745
0,X,E,76,0,29502,34307,40,$9.50 ,$9.50 ,$7.50 ,$10.00 ,6,6,2,2,16,14,6,29,1,0,100054417
0,X,E,NA,0,60974,49471,28,$15.00 ,$12.33 ,$15.00 ,$15.00 ,1,3,1,3,18,10,4,78,0,1,100282419
1,X,A,52,0,61841,52425,1,$13.00 ,$14.00 ,$13.00 ,$15.00 ,4,7,4,4,5,31,8,30,0,1,100867458
0,X,C,55,0,110014,51437,21,$24.33 ,$18.75 ,$27.00 ,$24.00 ,3,8,1,6,18,12,6,76,0,1,100414466
0,X,E,67,0,56384,48796,34,$17.00 ,$16.49 ,,$17.00 ,1,2,0,1,26,10,4,44,1,0,100088940
0,Y,E,NA,0,37530,$0.00 ,12,$23.00 ,$23.00 ,$23.00 ,$23.00 ,1,1,1,1,15,9,3,15,0,1,100496154
0,Y,D,37,1,31117,28039,29,$13.00 ,$13.00 ,$16.00 ,$16.00 ,2,2,1,1,17,10,4,27,1,0,100264990
0,X,C,51,1,87160,51508,38,$27.50 ,$20.30 ,,$25.00 ,2,10,0,6,18,13,6,89,0,1,100554303
1,X,D,65,1,112887,39112,22,$9.75 ,$7.86 ,$10.00 ,$10.00 ,4,14,1,6,23,6,4,104,0,1,100589739
0,X,D,NA,0,165423,$0.00 ,27,$20.00 ,$15.44 ,$20.00 ,$20.00 ,1,9,1,4,21,13,6,92,0,1,100684885
1,X,D,NA,0,84203,51077,22,$17.60 ,$17.27 ,$18.25 ,$25.00 ,6,16,5,14,16,24,6,112,0,1,100465417
0,X,A,NA,1,365483,60512,33,$16.00 ,$14.50 ,$16.00 ,$17.00 ,1,3,1,2,16,11,3,63,1,0,100294035
0,X,A,NA,1,181640,54864,23,$15.00 ,$14.39 ,$15.00 ,$10.00 ,3,24,3,18,26,13,6,127,1,0,100392073
0,X,D,26,0,74511,$0.00 ,28,$10.00 ,$5.93 ,$10.00 ,$10.00 ,1,28,1,18,17,12,5,129,0,1,100755336
0,X,B,42,1,71318,64192,37,$15.33 ,$14.00 ,$15.50 ,$15.00 ,3,4,2,2,20,12,6,41,1,0,100637863
0,Z,A,33,1,255824,63378,42,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,20,10,4,20,1,0,100119108
0,X,D,48,0,47407,$0.00 ,24,$9.33 ,$7.91 ,$9.75 ,$13.00 ,6,11,4,6,16,14,6,80,1,0,100492404
0,X,E,NA,0,38544,$0.00 ,35,$10.80 ,$9.57 ,$11.00 ,$10.00 ,5,7,4,5,18,13,6,41,1,0,100083756
1,X,E,NA,0,52776,53159,30,$4.60 ,$4.03 ,$4.57 ,$5.00 ,10,34,7,16,15,14,6,75,1,0,100571433
0,X,E,NA,0,43812,$0.00 ,11,$9.00 ,$6.00 ,$9.00 ,$10.00 ,2,23,2,15,21,10,4,129,0,1,100495470
1,X,A,NA,0,256067,$0.00 ,26,$11.33 ,$9.86 ,$12.00 ,$12.00 ,4,8,2,3,18,13,7,44,0,1,100009906
0,Z,D,NA,0,24201,$0.00 ,20,$15.00 ,$15.00 ,,$15.00 ,1,1,0,0,24,7,3,24,1,0,100863211
0,X,E,65,1,50097,39103,53,$5.00 ,$5.33 ,$5.00 ,$5.00 ,4,9,2,4,16,13,6,65,1,0,100437235
0,X,A,46,1,260407,72249,34,$55.00 ,$46.88 ,$62.50 ,$63.00 ,7,9,3,4,20,27,7,45,1,0,100312194
0,Y,C,NA,0,67278,$0.00 ,35,$16.00 ,$8.00 ,,$17.00 ,1,7,0,4,14,11,4,128,0,1,100057760
1,X,B,59,1,65166,45639,37,$6.67 ,$5.09 ,$5.00 ,$5.00 ,6,43,4,22,15,12,4,130,1,0,100156103
0,X,B,39,1,229494,52295,54,$8.00 ,$6.69 ,,$8.00 ,1,36,0,14,25,20,3,128,0,1,100425027
1,X,B,NA,0,112823,36743,49,$6.25 ,$5.56 ,$5.00 ,$5.00 ,4,9,1,3,18,13,6,79,1,0,100436122
0,Y,E,47,1,192301,$0.00 ,9,$25.00 ,$16.40 ,,$25.00 ,1,5,0,3,21,11,5,104,1,0,100261890
0,X,C,NA,0,192137,58077,26,$16.67 ,$8.36 ,,$16.00 ,3,11,0,2,18,13,6,113,1,0,100993071
0,X,C,32,1,67485,31101,4,$11.25 ,$10.00 ,$12.50 ,$15.00 ,3,8,1,3,22,11,5,40,0,1,100590349
1,X,D,49,1,93821,46724,9,$3.60 ,$3.86 ,$2.00 ,$2.00 ,5,14,1,4,18,9,4,81,1,0,100106813
1,X,E,77,0,39793,41698,28,$9.00 ,$6.67 ,$9.00 ,$9.00 ,4,12,1,6,15,12,5,127,1,0,100671522
0,Z,B,68,1,179884,59897,34,$15.00 ,$12.50 ,$15.00 ,$10.00 ,1,2,1,1,16,14,6,20,1,0,100490466
1,Z,A,87,0,128389,81222,32,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,2,1,1,5,11,5,24,1,0,100499020
0,X,E,42,1,42212,41267,40,$13.50 ,$8.75 ,$20.00 ,$20.00 ,2,4,1,3,18,12,6,53,0,1,100092757
0,X,C,51,0,132221,73929,36,$11.33 ,$11.14 ,$11.67 ,$12.00 ,6,7,3,3,18,14,6,30,1,0,100943748
1,X,E,77,1,51148,60358,20,$10.00 ,$8.28 ,$10.00 ,$10.00 ,3,18,2,15,20,12,5,125,0,1,100190269
0,Y,D,72,0,110380,44490,24,$20.00 ,$11.42 ,$20.00 ,$20.00 ,2,12,1,6,18,13,6,88,1,0,100899254
1,X,E,NA,1,46446,31194,28,$11.00 ,$10.19 ,$11.00 ,$11.00 ,2,15,0,9,21,10,4,129,1,0,100709652
0,X,E,68,1,58315,50953,29,$5.00 ,$7.82 ,,$0.00 ,1,17,0,5,12,26,2,130,0,1,100163798
0,X,E,64,0,34777,28405,33,$15.00 ,$11.18 ,$15.00 ,$15.00 ,2,11,1,6,22,12,6,119,1,0,100382897
0,X,A,55,0,152373,80310,32,$17.50 ,$18.33 ,$17.50 ,$15.00 ,2,6,2,5,20,12,5,87,1,0,100772802
0,X,C,49,1,75419,55919,33,$22.50 ,$16.25 ,$20.00 ,$25.00 ,2,4,1,2,19,13,6,45,1,0,100939304
0,X,E,NA,0,44404,$0.00 ,26,$10.20 ,$7.89 ,$10.00 ,$10.00 ,5,9,1,3,18,15,6,63,1,0,100077913
0,X,D,NA,0,80890,$0.00 ,20,$25.00 ,$17.50 ,,$30.00 ,2,4,0,1,19,16,6,77,0,1,100416190
0,X,B,48,0,99288,$0.00 ,43,$12.50 ,$8.63 ,,$15.00 ,3,9,1,4,19,15,7,68,0,1,100172770
0,Y,A,NA,0,109692,$0.00 ,31,$20.00 ,$20.00 ,,$20.00 ,1,1,0,0,15,8,3,15,0,1,100395513
1,X,A,48,1,135210,84409,35,$6.14 ,$6.08 ,$5.50 ,$4.00 ,6,11,1,3,14,11,5,52,0,1,100601436
0,X,B,63,0,63570,52083,28,$22.50 ,$8.33 ,,$20.00 ,1,11,0,6,17,9,4,92,0,1,100252125
0,X,E,NA,0,50497,$0.00 ,29,$12.67 ,$8.57 ,$14.50 ,$14.00 ,3,7,2,5,17,13,6,61,1,0,100954346
0,X,D,33,1,75075,55087,18,$25.00 ,$19.00 ,$25.00 ,$25.00 ,1,5,1,4,21,12,6,62,1,0,101044359
0,X,E,68,1,49700,40378,44,$15.00 ,$12.86 ,$15.00 ,$10.00 ,2,14,2,8,18,12,5,111,1,0,100565578
1,X,E,71,1,132664,47502,28,$10.00 ,$8.13 ,$10.00 ,$10.00 ,4,8,2,3,18,12,6,75,1,0,100743740
0,X,B,77,0,191384,$0.00 ,13,$20.00 ,$10.67 ,$20.00 ,$20.00 ,0,2,0,1,20,11,5,56,1,0,100779909
0,X,E,NA,0,38823,$0.00 ,23,$45.84 ,$18.46 ,$31.68 ,$60.00 ,2,8,1,3,18,13,6,77,1,0,100380918
0,X,E,44,0,74204,52393,37,$15.00 ,$11.00 ,,$15.00 ,1,6,0,1,17,11,4,80,1,0,100476245
0,X,A,NA,0,58330,$0.00 ,0,$25.00 ,$23.21 ,$18.75 ,$30.00 ,6,13,3,3,17,28,10,55,1,0,100000052
0,X,C,NA,0,87599,$0.00 ,42,$16.80 ,$12.00 ,$11.33 ,$50.00 ,10,28,6,12,18,13,6,67,1,0,100841619
1,X,B,48,1,231506,50325,32,$13.20 ,$13.00 ,$13.75 ,$15.00 ,5,6,4,4,18,13,6,29,1,0,100297304
0,X,E,67,0,34614,39252,15,$11.33 ,$9.00 ,$12.00 ,$12.00 ,3,6,1,2,17,12,6,45,0,1,100826580
0,X,C,74,0,66096,41642,30,$15.00 ,$11.14 ,,$15.00 ,0,6,0,1,25,8,3,92,0,1,100412080
1,X,B,NA,0,252797,$0.00 ,23,$29.00 ,$26.75 ,$31.00 ,$32.00 ,3,4,2,2,16,13,6,39,1,0,100604090
0,X,E,72,0,41193,$0.00 ,31,$11.00 ,$9.21 ,,$11.00 ,1,24,0,9,15,12,5,105,1,0,100175616
0,X,C,47,0,56693,54999,23,$9.40 ,$7.75 ,$9.67 ,$10.00 ,5,12,3,6,24,11,6,105,0,1,100414271
1,X,C,82,0,71477,84312,36,$13.60 ,$10.19 ,$14.50 ,$10.00 ,6,17,5,8,11,30,8,58,0,1,100162603
0,X,E,83,0,21210,32616,36,$9.00 ,$10.40 ,$9.00 ,$9.00 ,3,21,2,13,19,15,6,114,1,0,100866977
0,Y,B,51,1,$0.00 ,$0.00 ,31,$17.00 ,$17.00 ,$10.00 ,$24.00 ,2,2,1,1,15,9,3,29,0,1,100717063
0,X,B,38,1,67184,41807,32,$16.00 ,$13.00 ,$16.00 ,$16.00 ,0,1,0,1,20,9,3,44,0,1,100129232
0,Y,E,NA,0,48837,$0.00 ,35,$10.00 ,$10.00 ,,$15.00 ,2,2,0,0,19,10,4,30,0,1,100182437
0,X,B,NA,0,75495,$0.00 ,35,$13.00 ,$6.70 ,,$16.00 ,2,10,0,4,20,13,6,69,1,0,100034417
0,Z,E,NA,0,57115,$0.00 ,38,$20.00 ,$20.00 ,,$20.00 ,1,1,0,0,20,11,4,20,0,1,100065049
0,X,E,74,1,59488,45298,20,$9.29 ,$5.41 ,$9.33 ,$11.00 ,7,17,3,11,17,13,6,130,1,0,100164279
0,X,B,76,1,120972,74188,37,$14.67 ,$11.13 ,$14.50 ,$16.00 ,3,8,2,4,17,15,6,93,0,1,100811087
1,X,E,NA,1,60619,43138,36,$10.33 ,$8.90 ,$12.00 ,$10.00 ,6,10,1,1,15,18,6,53,1,0,100736247
0,Y,C,NA,0,108898,$0.00 ,40,$37.50 ,$14.44 ,$50.00 ,$50.00 ,2,9,1,5,16,14,6,104,1,0,100798734
0,X,A,60,1,81894,39666,28,$15.00 ,$12.20 ,,$15.00 ,3,10,0,4,15,12,5,88,1,0,100587556
1,X,D,77,1,66408,48640,36,$4.50 ,$4.69 ,$4.43 ,$4.00 ,10,16,7,9,15,12,6,52,0,1,100466963
0,X,E,86,0,44415,30627,21,$10.00 ,$10.23 ,$5.00 ,$10.00 ,1,12,0,3,3,26,4,122,1,0,100863051
1,X,A,47,0,270505,$0.00 ,21,$14.20 ,$11.41 ,$15.00 ,$15.00 ,6,30,4,14,23,27,7,132,0,1,100482546
0,X,E,82,1,42095,28243,31,$17.67 ,$17.67 ,$25.00 ,$15.00 ,2,2,0,0,17,11,5,31,0,1,100845558
0,X,B,NA,1,107928,40985,23,$19.00 ,$14.27 ,$16.67 ,$20.00 ,5,11,3,7,15,14,6,118,0,1,100234728
0,Z,D,NA,0,67089,40893,22,$18.00 ,$18.00 ,$18.00 ,$18.00 ,0,0,0,0,20,7,2,20,1,0,100081679
1,X,B,67,1,79615,39262,45,$5.60 ,$5.38 ,$5.00 ,$7.00 ,5,8,1,2,18,12,6,41,0,1,100162292
0,X,C,57,1,71600,72376,29,$16.00 ,$11.75 ,,$20.00 ,2,4,0,2,26,10,5,52,1,0,100361013
0,Z,A,NA,0,355088,$0.00 ,27,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,16,12,5,16,0,1,100306199
0,X,A,NA,0,126533,56062,33,$13.00 ,$14.83 ,$16.00 ,$10.00 ,3,6,1,1,18,13,6,32,1,0,100485906
0,Y,E,57,1,33789,39890,30,$22.50 ,$12.83 ,$25.00 ,$25.00 ,2,6,1,2,20,13,6,55,1,0,100267277
0,X,B,NA,0,85492,59811,18,$10.00 ,$8.10 ,$10.00 ,$10.00 ,7,31,5,20,21,13,6,130,1,0,100025488
0,Z,A,28,0,97504,70823,26,$20.00 ,$20.00 ,$20.00 ,$20.00 ,0,0,0,0,20,9,3,20,1,0,100016890
0,X,A,NA,0,83502,$0.00 ,20,$20.00 ,$12.24 ,$20.00 ,$20.00 ,3,29,2,22,18,13,6,130,1,0,100004156
0,X,D,NA,1,196878,67215,25,$4.50 ,$4.50 ,$4.33 ,$5.00 ,6,22,3,15,19,13,5,124,1,0,100814872
0,X,B,70,1,92080,49395,64,$25.00 ,$16.29 ,$25.00 ,$25.00 ,2,7,1,5,21,13,6,93,1,0,100821914
0,Z,A,39,0,500034,122685,30,$35.00 ,$35.00 ,,$35.00 ,1,1,0,0,20,11,5,20,1,0,100970502
0,Y,E,NA,0,87564,$0.00 ,0,$7.67 ,$6.86 ,$6.50 ,$10.00 ,3,7,2,4,18,6,2,32,0,1,100325518
0,X,A,37,1,137498,74246,17,$25.00 ,$17.50 ,,$25.00 ,1,4,0,2,17,13,6,52,1,0,100216456
0,X,B,88,1,159698,73192,51,$15.00 ,$11.25 ,,$15.00 ,2,5,1,2,18,11,5,80,0,1,100445603
0,X,E,NA,0,36712,$0.00 ,30,$12.50 ,$11.22 ,$13.00 ,$14.00 ,5,10,3,5,18,15,7,65,1,0,100255064
0,Z,C,NA,0,75430,48908,33,$16.00 ,$16.00 ,$16.00 ,$17.00 ,1,1,1,1,15,13,5,19,0,1,100800877
1,X,E,NA,1,163570,78761,21,$12.00 ,$8.36 ,$12.00 ,$11.00 ,3,25,3,16,17,13,6,125,1,0,100228487
1,X,E,50,1,57188,55166,34,$15.00 ,$11.64 ,$15.25 ,$16.00 ,7,14,4,6,16,15,6,53,1,0,100085169
0,X,D,24,0,168888,$0.00 ,35,$14.00 ,$14.00 ,$14.00 ,$15.00 ,1,1,1,1,21,9,3,27,1,0,100706375
0,X,E,65,1,35912,32356,34,$11.00 ,$5.35 ,,$11.00 ,2,21,1,11,27,10,5,127,0,1,100341927
1,X,A,81,0,595198,$0.00 ,39,$14.00 ,$12.57 ,$17.00 ,$10.00 ,4,8,2,5,19,13,7,66,0,1,100406966
0,Z,C,42,1,115718,53326,35,$20.00 ,$20.00 ,,$20.00 ,0,0,0,0,18,9,3,18,1,0,100073955
0,X,A,52,1,335092,109273,24,$16.00 ,$10.09 ,,$16.00 ,1,11,0,7,17,11,4,119,0,1,100390247
0,Y,E,NA,0,28797,$0.00 ,24,$20.00 ,$20.00 ,$20.00 ,$20.00 ,0,0,0,0,16,3,1,16,0,1,101059868
0,X,E,38,0,31017,40393,24,$17.50 ,$11.69 ,$17.50 ,$20.00 ,3,9,3,6,25,11,5,127,1,0,100749762
0,Y,A,NA,0,77193,$0.00 ,35,$7.50 ,$5.65 ,$10.00 ,$10.00 ,1,16,0,11,18,6,1,107,0,1,100971183
0,X,E,62,0,55374,47753,29,$20.00 ,$11.45 ,$20.00 ,$20.00 ,1,11,1,9,21,12,6,130,0,1,101010197
0,Y,E,59,0,29587,$0.00 ,29,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,19,10,4,19,0,1,100287659
1,X,D,85,0,44952,51531,15,$7.60 ,$5.67 ,$6.67 ,$8.00 ,6,28,4,16,19,14,6,114,1,0,100623320
1,Z,A,NA,0,90616,56047,49,$7.67 ,$7.43 ,$6.67 ,$8.00 ,6,7,3,3,17,14,6,24,1,0,100889917
0,Z,B,50,1,94626,44565,37,$10.00 ,$13.00 ,$10.00 ,$16.00 ,0,1,0,0,14,10,4,20,1,0,100446842
0,X,A,87,0,184786,$0.00 ,55,$16.00 ,$8.00 ,$16.00 ,$16.00 ,1,9,1,4,23,10,5,81,1,0,100906283
0,X,E,NA,0,40310,47832,28,$11.00 ,$9.14 ,$12.00 ,$12.00 ,4,14,1,7,18,13,6,126,1,0,100463585
0,X,E,72,1,43905,37702,25,$11.00 ,$8.63 ,$9.00 ,$13.00 ,2,18,0,8,17,11,4,92,1,0,100064010
1,X,B,52,1,228426,42639,17,$20.00 ,$17.50 ,$20.00 ,$20.00 ,2,3,0,1,19,11,5,44,1,0,100587141
0,X,E,43,1,63882,54674,42,$10.00 ,$8.60 ,$15.00 ,$15.00 ,3,5,1,2,17,12,6,44,1,0,100142254
0,X,B,55,1,72401,38407,42,$11.40 ,$9.57 ,$12.50 ,$13.00 ,6,8,3,4,17,13,6,45,1,0,100586345
0,X,B,NA,0,78077,$0.00 ,37,$19.50 ,$9.38 ,$19.50 ,$25.00 ,2,16,2,13,17,13,6,130,0,1,100147080
0,X,E,41,0,46094,35878,23,$12.67 ,$10.75 ,$13.00 ,$14.00 ,3,4,1,2,15,12,6,45,1,0,101054239
0,X,D,66,0,64792,$0.00 ,26,$20.13 ,$19.31 ,$18.33 ,$25.00 ,8,13,3,6,15,14,6,109,1,0,100140393
0,X,E,59,0,24884,34830,27,$12.00 ,$12.00 ,$8.00 ,$20.00 ,3,3,2,2,19,12,6,29,1,0,100438256
1,X,B,79,1,112512,47026,8,$10.67 ,$7.00 ,$10.00 ,$15.00 ,3,8,1,4,26,11,5,86,0,1,100314766
0,X,E,34,1,47701,46799,25,$20.00 ,$17.91 ,$20.00 ,$20.00 ,1,10,1,7,15,14,5,118,0,1,100956644
0,Z,E,53,1,65019,59291,28,$6.50 ,$6.33 ,$6.50 ,$6.00 ,2,3,2,2,15,11,5,21,1,0,101055038
0,Z,E,62,1,60993,51002,25,$15.00 ,$15.00 ,$15.00 ,$15.00 ,0,0,0,0,14,8,3,14,1,0,100272371
0,X,A,50,1,111615,50855,26,$45.00 ,$40.00 ,,$45.00 ,1,4,0,2,18,13,6,96,0,1,100215873
0,X,D,38,1,162184,47470,32,$22.50 ,$18.83 ,$25.00 ,$25.00 ,3,7,2,4,25,13,7,54,1,0,100782299
